OS,Version,OS Version,Build,Service Option,End of Service,EoS-Date,Extended
Windows 10 Pro,22H2,,19045,General Availability Channel,False,2025-10-14,
Windows 10 Enterprise,22H2,,19045,General Availability Channel,False,2025-10-14,
Windows 10 Pro,21H2,10.0.19044,19044,General Availability Channel,True,,
Windows 10 Enterprise,21H2,10.0.19044,19044,General Availability Channel,False,2025-10-14,
Windows 10 Enterprise LTSC,21H2,10.0.19044,19044,Long-Term Servicing Channel (LTSC),False,2027-01-12,2032-01-13
Windows 10 Enterprise LTSC,1809,10.0.17763,17763,Long-Term Servicing Channel (LTSC),False,2027-01-12,2032-01-13
Windows 10 Enterprise LTSB,1607,10.0.14393,14393,Long-Term Servicing Branch (LTSB),False,2027-01-12,2032-01-13
Windows 10 Enterprise LTSB,1507 (RTM),10.0.10240,10240,Long-Term Servicing Branch (LTSB),False,2027-01-12,2032-01-13
Windows 10 ,21H1,10.0.19043,19043,Semi-Annual Channel,True,,
Windows 10 ,20H2,10.0.19042,19042,Semi-Annual Channel,True,,
Windows 10 ,2004,10.0.19041,19041,Semi-Annual Channel,True,,
Windows 10 ,1909,10.0.18363,18363,Semi-Annual Channel,True,,
Windows 10 ,1903,10.0.18362,18362,Semi-Annual Channel,True,,
Windows 10 ,1803,10.0.17134,17134,Semi-Annual Channel / Semi-Annual Channel (Targeted),True,,
Windows 10 ,1709,10.0.16299,16299,Semi-Annual Channel / Semi-Annual Channel (Targeted),True,,
Windows 10 ,1703,10.0.15063,15063,Semi-Annual Channel / CB,True,,
Windows 10 ,1511,10.0.10586,10586,CBB / CB,True,,
Windows 11 Pro,22H2,10.0.22621,22621,General Availability Channel,False,2024-10-08,
Windows 11 Enterprise,22H2,10.0.22621,22621,General Availability Channel,False,2025-10-14,
Windows 11 Pro,21H2,10.0.22000,22000,General Availability Channel,False,2023-10-10,
Windows 11 Enterprise,21H2,10.0.22000,22000,General Availability Channel,False,2024-10-08,
Windows Server 2022,,,20348,Long-Term Servicing Channel (LTSC),False,2026-10-13,2031-10-14
Windows Server 2019,1809,,17763,Long-Term Servicing Channel (LTSC),False,2024-01-09,2029-01-09
Windows Server 2016,1607,,14393,Long-Term Servicing Channel (LTSC),False,,2027-01-11
Windows 8.1 (Update 1),NT 6.3,6.3.9600,9600,,True,2018-09-01,2023-01-10
Windows 8.1,NT 6.3,6.3.9200,9200,,True,2018-09-01,2023-01-10
Windows 8,NT 6.2,6.2.9200,9200,,True,2016-01-12 ,
Windows 7 SP1,NT 6.1,6.1.7601,7601,,True,,
Windows 7,NT 6.1,6.1.7600,7600,,True,,
Windows Vista SP2,NT 6.0,6.0.6002,6002,,True,2017-04-11 ,
Windows Vista SP1,NT 6.0,6.0.6001,6001,,True,2017-04-11 ,
Windows Vista,NT 6.0,6.0.6000,6000,,True,2017-04-11 ,
Windows XP,NT 5.1,5.1.2600,2600,,True,,
Windows XP,NT 5.1,5.1.2700,2700, ,True,,
Windows XP,NT 5.1,5.1.2710,2710,,True,,
Windows XP,NT 5.2,5.2.3790,3790,,True,,
Windows Server 2003,NT 5.2,,3790,,True,2015-07-14 ,
Windows Server 2003 R2,NT 5.2,,3790,,True,2015-07-14 ,
Windows Server 2008,NT 6.0,,6002,,True,2020-01-14 ,
Windows Server 2008 R2,NT 6.1,,7601,,True,2020-01-14 ,
Windows Server 2000,NT 5.0,,2195,,True,2010-07-13 ,
Windows Server 2012,NT 6.2,,9200,,False,2023-10-10 ,
Windows Server 2012 R2,NT 6.3,,9600,,False,2023-10-10 ,
